date,cases,deaths,dc_ratio
2020-01-21,1,0,0.0
2020-01-22,1,0,0.0
2020-01-23,1,0,0.0
2020-01-24,2,0,0.0
2020-01-25,3,0,0.0
2020-01-26,5,0,0.0
2020-01-27,5,0,0.0
2020-01-28,5,0,0.0
2020-01-29,5,0,0.0
2020-01-30,6,0,0.0
2020-01-31,7,0,0.0
2020-02-01,8,0,0.0
2020-02-02,11,0,0.0
2020-02-03,11,0,0.0
2020-02-04,11,0,0.0
2020-02-05,12,0,0.0
2020-02-06,12,0,0.0
2020-02-07,12,0,0.0
2020-02-08,12,0,0.0
2020-02-09,12,0,0.0
2020-02-10,13,0,0.0
2020-02-11,13,0,0.0
2020-02-12,14,0,0.0
2020-02-13,15,0,0.0
2020-02-14,15,0,0.0
2020-02-15,15,0,0.0
2020-02-16,15,0,0.0
2020-02-17,25,0,0.0
2020-02-18,25,0,0.0
2020-02-19,25,0,0.0
2020-02-20,27,0,0.0
2020-02-21,30,0,0.0
2020-02-22,30,0,0.0
2020-02-23,30,0,0.0
2020-02-24,43,0,0.0
2020-02-25,45,0,0.0
2020-02-26,60,0,0.0
2020-02-27,60,0,0.0
2020-02-28,65,0,0.0
2020-02-29,70,1,0.014285714285714285
2020-03-01,88,3,0.03409090909090909
2020-03-02,104,6,0.057692307692307696
2020-03-03,125,10,0.08
2020-03-04,161,12,0.07453416149068323
2020-03-05,228,12,0.05263157894736842
2020-03-06,311,15,0.04823151125401929
2020-03-07,428,19,0.04439252336448598
2020-03-08,547,22,0.04021937842778794
2020-03-09,748,26,0.034759358288770054
2020-03-10,1018,31,0.030451866404715127
2020-03-11,1263,37,0.02929532858273951
2020-03-12,1668,43,0.02577937649880096
2020-03-13,2221,50,0.0225123818099955
2020-03-14,2893,60,0.020739716557207053
2020-03-15,3591,68,0.01893622946254525
2020-03-16,4497,91,0.020235712697353792
2020-03-17,5895,116,0.019677692960135707
2020-03-18,8329,157,0.018849801896986432
2020-03-19,12363,203,0.01641996279220254
2020-03-20,17965,264,0.014695240745894796
2020-03-21,24469,342,0.013976868690996772
2020-03-22,32983,433,0.013127975017433223
2020-03-23,43399,547,0.012603977050162446
2020-03-24,54051,743,0.013746276664631551
2020-03-25,68639,996,0.014510700913474847
2020-03-26,85448,1276,0.014933058702368692
2020-03-27,102754,1647,0.01602857309691107
2020-03-28,123624,2134,0.017262020319679026
2020-03-29,141973,2407,0.016953927859522586
2020-03-30,163336,2896,0.017730322770240486
2020-03-31,187551,3621,0.019306748564390484
2020-04-01,214544,4536,0.02114251622044895
2020-04-02,243494,5486,0.022530329289428077
2020-04-03,275623,7116,0.02581787441541526
2020-04-04,310117,8482,0.027350967538058216
2020-04-05,335617,9635,0.028708319304445246
2020-04-06,365521,11681,0.03195712421447742
2020-04-07,396846,12930,0.032581908347318604
2020-04-08,428195,14752,0.034451593316129334
2020-04-09,462407,16640,0.03598561440462623
2020-04-10,495547,18668,0.03767150240037776
2020-04-11,526883,20528,0.0389612115023639
2020-04-12,553655,22005,0.039744967533933584
2020-04-13,579216,23554,0.040665313112897436
2020-04-14,605583,26027,0.042978419143205805
2020-04-15,635091,28525,0.04491482323005679
2020-04-16,666717,30726,0.04608552054319899
2020-04-17,697934,32817,0.04702020534892984
2020-04-18,726109,34655,0.04772699415652471
2020-04-19,751231,36057,0.047997220561984265
2020-04-20,778312,37742,0.04849212141146481
2020-04-21,803938,40262,0.050080976393702
2020-04-22,831598,42445,0.05104028629217482
